product Name,﻿Brand,Size,Balloon Capacity,Absorbancy,Calories,Color,Circumference,Container Type,Cover options,cuff size ,Cushion shape,Dimension Matrix,FabricOption,Flavour,Flow rate,French Gauge,item Options,Item type Matrix,length,Packaging,PadSize,Patient Size,quantity,Resistance,SeatDepth,SeatWidth,shape,Size Range,sterile,Strength,Sun Protection Factor,User Type,Volume,Weight Range,Material,Usage,Watts,Weight Capacity,Type
Flat % of promotion (Catt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Promotion ID (Google Shopping),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REHAB PRODUCT OPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online Price Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONLINE PROMOTION POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image URL (Shopping),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attribute Set,,,,,,,,,,,,,,,,,,,,Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACKAGE WEIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOX DIMENSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMENSIONS (INCH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Width ,,,,,,,,,,,,,,,,,,,,Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Length ,,,,,,,,,,,,,,,,,,,,Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Height ,,,,,,,,,,,,,,,,,,,,Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Volume (Cubic feet),,,,,,,,,,,,,,,,,,,,Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
